,name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
211,Egypt,EGY,EGP,9.25,5.74,1331.362,8008.765,2006-01-01
212,Euro area,EUZ,EUR,2.91,0.82815735,33336.2923104187,26780.9121812118,2006-01-01
213,Britain,GBR,GBP,1.88,0.566925563,42170.81,23167.911,2006-01-01
214,Hong Kong,HKG,HKD,12.0,7.7512,26551.769,206517.447,2006-01-01
215,Hungary,HUN,HUF,560.0,206.956,11211.246,2237568.429,2006-01-01
216,Indonesia,IDN,IDR,14600.0,9460.0,1403.876,13628832.874,2006-01-01
217,Japan,JPN,JPY,250.0,114.305,37819.107,4168354.311,2006-01-01
218,South Korea,KOR,KRW,2500.0,977.45,19398.494,19870426.961,2006-01-01
219,Mexico,MEX,MXN,28.0,10.5425,8303.985,90495.933,2006-01-01
220,Malaysia,MYS,MYR,5.5,3.7488,5678.747,21504.443,2006-01-01
221,New Zealand,NZL,NZD,4.45,1.4467,27384.825,38879.11,2006-01-01
222,Peru,PER,PEN,9.5,3.446,2669.214,8797.06,2006-01-01
223,Philippines,PHL,PHP,82.0,52.58,1261.241,69476.107,2006-01-01
224,Poland,POL,PLN,6.5,3.1151,8023.921,25947.888,2006-01-01
225,Russia,RUS,RUB,46.0,28.67,5708.838,161647.479,2006-01-01
226,Singapore,SGP,SGD,3.6,1.6353,29961.308,49867.527,2006-01-01
227,Sweden,SWE,SEK,33.0,7.7119,43349.851,323957.266,2006-01-01
228,Thailand,THA,THB,60.0,39.755,2890.482,116399.489,2006-01-01
229,Turkey,TUR,TRY,4.1,1.3365,7350.887,9879.038,2006-01-01
230,Taiwan,TWN,TWD,75.0,31.9495,16427.459,528611.003,2006-01-01
231,United States,USA,USD,2.67,1.0,44034.256,44034.256,2006-01-01
232,Venezuela,VEN,VEF,5900.0,2615.92,5421.656,,2006-01-01
233,South Africa,ZAF,ZAR,13.95,6.0803,6033.211,38382.783,2006-01-01
234,UAE,ARE,AED,9.0,3.6726,43984.093,161531.582,2006-05-01
235,Argentina,ARG,ARS,7.0,3.0565,5163.55,15094.732,2006-05-01
236,Australia,AUS,AUD,3.25,1.33253,36232.61,47434.653,2006-05-01
237,Brazil,BRA,BRL,6.4,2.3045,4819.872,11733.457,2006-05-01
238,Canada,CAN,CAD,3.52,1.12045,36439.62,44143.143,2006-05-01
239,Switzerland,CHE,CHF,6.3,1.20885,56378.441,70201.119,2006-05-01
240,Chile,CHL,CLP,1560.0,529.95,7558.009,4230727.997,2006-05-01
241,China,CHN,CNY,10.5,8.026,1751.368,14351.735,2006-05-01
242,Colombia,COL,COP,6500.0,2503.6,3493.976,8109977.669,2006-05-01
243,Costa Rica,CRI,CRC,1130.0,509.535,4756.337,2271994.957,2006-05-01
244,Czech Republic,CZE,CZK,59.05,22.1078,13446.938,322153.908,2006-05-01
245,Denmark,DNK,DKK,27.75,5.81825,48872.095,293081.556,2006-05-01
246,Egypt,EGY,EGP,9.5,5.77075,1331.362,8008.765,2006-05-01
247,Euro area,EUZ,EUR,2.939573529,0.780365992,33336.2923104187,26780.9121812118,2006-05-01
248,Britain,GBR,GBP,1.94,0.531801744,42170.81,23167.911,2006-05-01
249,Hong Kong,HKG,HKD,12.0,7.7533,26551.769,206517.447,2006-05-01
250,Hungary,HUN,HUF,560.0,206.3444,11211.246,2237568.429,2006-05-01
251,Indonesia,IDN,IDR,14600.0,9325.0,1403.876,13628832.874,2006-05-01
252,Japan,JPN,JPY,250.0,112.105,37819.107,4168354.311,2006-05-01
253,South Korea,KOR,KRW,2500.0,952.4,19398.494,19870426.961,2006-05-01
254,Sri Lanka,LKA,LKR,190.0,102.955,1477.595,148459.868,2006-05-01
255,Mexico,MEX,MXN,29.0,11.3031,8303.985,90495.933,2006-05-01
256,Malaysia,MYS,MYR,5.5,3.6295,5678.747,21504.443,2006-05-01
257,Norway,NOR,NOK,43.0,6.1023,67123.597,432443.775,2006-05-01
258,New Zealand,NZL,NZD,4.45,1.62101,27384.825,38879.11,2006-05-01
259,Pakistan,PAK,PKR,130.0,60.055,842.046,49981.794,2006-05-01
260,Peru,PER,PEN,9.5,3.261,2669.214,8797.06,2006-05-01
261,Philippines,PHL,PHP,85.0,52.625,1261.241,69476.107,2006-05-01
262,Poland,POL,PLN,6.5,3.09915,8023.921,25947.888,2006-05-01
263,Russia,RUS,RUB,48.0,27.06375,5708.838,161647.479,2006-05-01
264,Saudi Arabia,SAU,SAR,9.0,3.749,14068.226,52755.849,2006-05-01
265,Singapore,SGP,SGD,3.6,1.5873,29961.308,49867.527,2006-05-01
266,Sweden,SWE,SEK,33.0,7.28455,43349.851,323957.266,2006-05-01
267,Thailand,THA,THB,60.0,38.445,2890.482,116399.489,2006-05-01
268,Turkey,TUR,TRY,4.2,1.5415,7350.887,9879.038,2006-05-01
269,Taiwan,TWN,TWD,75.0,32.141,16427.459,528611.003,2006-05-01
270,Ukraine,UKR,UAH,8.5,5.05,1839.515,9422.511,2006-05-01
271,Uruguay,URY,UYU,42.28,23.925,5639.444,137728.39,2006-05-01
272,United States,USA,USD,2.78,1.0,44034.256,44034.256,2006-05-01
273,Venezuela,VEN,VEF,5701.25,2519.58,5421.656,,2006-05-01
274,South Africa,ZAF,ZAR,13.95,6.597,6033.211,38382.783,2006-05-01
275,UAE,ARE,AED,10.0,3.6726,44313.551,162741.515,2007-01-01
276,Argentina,ARG,ARS,8.25,3.08875,5976.082,18370.363,2007-01-01
277,Australia,AUS,AUD,3.45,1.266865,37949.097,50373.755,2007-01-01
278,Brazil,BRA,BRL,6.4,2.1335,5921.179,12880.489,2007-01-01
279,Canada,CAN,CAD,3.63,1.17485,40558.897,46007.771,2007-01-01
280,Switzerland,CHE,CHF,6.3,1.2485,59209.29,74239.174,2007-01-01
281,Chile,CHL,CLP,1670.0,540.15,9410.392,4990095.541,2007-01-01
282,China,CHN,CNY,11.0,7.7743,2095.239,16706.037,2007-01-01
283,Colombia,COL,COP,6900.0,2239.325,3836.682,9049178.558,2007-01-01
284,Costa Rica,CRI,CRC,1130.0,509.535,5309.271,2714244.847,2007-01-01
285,Czech Republic,CZE,CZK,52.1,21.50115,15284.674,345366.499,2007-01-01
286,Denmark,DNK,DKK,27.75,5.75305,52121.249,309953.516,2007-01-01
287,Egypt,EGY,EGP,9.09,5.7,1563.739,8995.797,2007-01-01
288,Euro area,EUZ,EUR,2.94,0.771813376,35191.0615241576,28025.8247571415,2007-01-01
289,Britain,GBR,GBP,1.94,0.506034461,44613.883,24213.54,2007-01-01
290,Hong Kong,HKG,HKD,12.0,7.79845,28028.157,217741.408,2007-01-01
291,Hungary,HUN,HUF,590.0,194.4237,11483.141,2415938.077,2007-01-01
292,Indonesia,IDN,IDR,15900.0,9090.0,1764.79,16173465.629,2007-01-01
293,Japan,JPN,JPY,280.0,121.585,36021.9,4189322.191,2007-01-01
294,South Korea,KOR,KRW,2900.0,940.15,21730.952,20760465.708,2007-01-01
295,Sri Lanka,LKA,LKR,190.0,102.955,1698.156,176506.335,2007-01-01
296,Mexico,MEX,MXN,29.0,10.8894,9102.514,99210.495,2007-01-01
297,Malaysia,MYS,MYR,5.5,3.502,6354.977,23297.244,2007-01-01
298,Norway,NOR,NOK,41.5,6.1023,74517.803,477907.508,2007-01-01
299,New Zealand,NZL,NZD,4.6,1.42796,26220.073,40369.627,2007-01-01
300,Pakistan,PAK,PKR,140.0,60.055,961.433,57548.123,2007-01-01
301,Peru,PER,PEN,9.5,3.1895,3106.719,10170.491,2007-01-01
302,Philippines,PHL,PHP,85.0,49.05,1470.825,75474.329,2007-01-01
303,Poland,POL,PLN,6.9,2.97175,9031.797,28027.095,2007-01-01
304,Russia,RUS,RUB,49.0,26.5335,7426.005,201875.643,2007-01-01
305,Saudi Arabia,SAU,SAR,9.0,3.749,15603.985,58514.942,2007-01-01
306,Singapore,SGP,SGD,3.6,1.53795,33768.446,53655.809,2007-01-01
307,Sweden,SWE,SEK,32.0,7.04125,46425.841,342541.421,2007-01-01
308,Thailand,THA,THB,62.0,35.3,3366.815,127645.035,2007-01-01
309,Turkey,TUR,TRY,4.55,1.40975,7961.078,11411.982,2007-01-01
310,Taiwan,TWN,TWD,75.0,32.9255,16892.883,549584.603,2007-01-01
311,Ukraine,UKR,UAH,9.0,5.05,2319.286,11712.394,2007-01-01
312,Uruguay,URY,UYU,55.0,23.925,6350.363,152483.337,2007-01-01
313,United States,USA,USD,2.89,1.0,46216.853,46216.853,2007-01-01
314,Venezuela,VEN,VEF,6800.0,4125.278,6646.803,,2007-01-01
315,South Africa,ZAF,ZAR,15.5,7.10975,6276.173,42471.907,2007-01-01
316,UAE,ARE,AED,10.0,3.67285,44313.551,162741.515,2007-06-01
317,Argentina,ARG,ARS,8.25,3.0915,5976.082,18370.363,2007-06-01
318,Australia,AUS,AUD,3.45,1.17,37949.097,50373.755,2007-06-01
319,Brazil,BRA,BRL,6.9,1.913,5921.179,12880.489,2007-06-01
320,Canada,CAN,CAD,3.88,1.05345,40558.897,46007.771,2007-06-01
321,Switzerland,CHE,CHF,6.3,1.2112,59209.29,74239.174,2007-06-01
322,Chile,CHL,CLP,1565.0,526.75,9410.392,4990095.541,2007-06-01
323,China,CHN,CNY,11.0,7.6047,2095.239,16706.037,2007-06-01
324,Colombia,COL,COP,6900.0,1956.0,3836.682,9049178.558,2007-06-01
325,Costa Rica,CRI,CRC,1130.0,518.625,5309.271,2714244.847,2007-06-01
326,Czech Republic,CZE,CZK,52.9,21.11675,15284.674,345366.499,2007-06-01
327,Denmark,DNK,DKK,27.75,5.4603,52121.249,309953.516,2007-06-01
328,Egypt,EGY,EGP,9.54,5.69025,1563.739,8995.797,2007-06-01
329,Euro area,EUZ,EUR,3.057482443,0.733756466,35191.0615241576,28025.8247571415,2007-06-01
330,Britain,GBR,GBP,1.99,0.496610632,44613.883,24213.54,2007-06-01
331,Hong Kong,HKG,HKD,12.0,7.81555,28028.157,217741.408,2007-06-01
332,Hungary,HUN,HUF,600.0,180.2106,11483.141,2415938.077,2007-06-01
333,Indonesia,IDN,IDR,15900.0,9015.0,1764.79,16173465.629,2007-06-01
334,Japan,JPN,JPY,280.0,122.315,36021.9,4189322.191,2007-06-01
335,South Korea,KOR,KRW,2900.0,922.5,21730.952,20760465.708,2007-06-01
336,Sri Lanka,LKA,LKR,210.0,111.4,1698.156,176506.335,2007-06-01
337,Mexico,MEX,MXN,29.0,10.76755,9102.514,99210.495,2007-06-01
